"Operação","Destino","Hotel","Início","Fim","Conferência de cadastro","Ficha técnica solicitada","Ficha técnica respondida","Mapa de quartos conferido","Cardápio recebido","Hosp. de equipe antes","Casos da saúde","Room list liberado","Template comissão","Logística dos transportes","Cadastro dos transportes","Voucher","Envio das listas de transp.","Manutenção room list","Rooming PRFs","Rooming extras","Enviado para o hotel","No show","Fechamento"
"ALEXÂNIA · 29/09","ALEXÂNIA","TAUÁ ALEXÂNIA","2026-09-29","2026-10-02","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"CAMP SP · 01/10","CAMP SP","ITAPURA","2026-10-01","2026-10-04","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"CAMP SP · 04/10","CAMP SP","ITAPURA","2026-10-04","2026-10-07","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"MALAI MANSO · 05/10","MALAI MANSO","MALAI MANSO RESORT","2026-10-05","2026-10-08","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"MED LAKE · 05/10","MED LAKE","MED LAKE PARADISE","2026-10-05","2026-10-08","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"CAMP SP · 07/10","CAMP SP","ITAPURA","2026-10-07","2026-10-10","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"CAMP SP · 10/10","CAMP SP","ITAPURA","2026-10-10","2026-10-13","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"MED LAKE · 12/10","MED LAKE","MED LAKE PARADISE","2026-10-12","2026-10-15","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"CAMP CERRADO · 13/10","CAMP CERRADO","VILA VELUTTI","2026-10-13","2026-10-16","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"CAMP SP · 13/10","CAMP SP","ITAPURA","2026-10-13","2026-10-16","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"CAMP SP · 16/10","CAMP SP","ITAPURA","2026-10-16","2026-10-19","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"FAZZENDA PARK · 18/10","FAZZENDA PARK","FAZZENDA PARK RESORT","2026-10-18","2026-10-21","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"CAMP SP · 19/10","CAMP SP","ITAPURA","2026-10-19","2026-10-22","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"CAMP SP · 22/10","CAMP SP","ITAPURA","2026-10-22","2026-10-25","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"NOVOTEL · 22/10","NOVOTEL","NOVOTEL ITU","2026-10-22","2026-10-25","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"NOVOTEL · 25/10","NOVOTEL","NOVOTEL ITU","2026-10-25","2026-10-28","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"CAETÉ · 26/10","CAETÉ","TAUÁ CAETÉ","2026-10-26","2026-10-29","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"FORFUN SP · 27/10","FORFUN SP","ITAPURA","2026-10-27","2026-10-29","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"FORFUN SP · 29/10","FORFUN SP","ITAPURA","2026-10-29","2026-10-31","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"FORFUN SP · 31/10","FORFUN SP","ITAPURA","2026-10-31","2026-11-02","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"CAMP SP · 02/11","CAMP SP","ITAPURA","2026-11-02","2026-11-05","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"BEACH PARK · 03/11","BEACH PARK","SUÍTES BEACH PARK","2026-11-03","2026-11-06","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"VG ANGRA · 03/11","VG ANGRA","VILA GALÉ ANGRA","2026-11-03","2026-11-06","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"CAMP SP · 05/11","CAMP SP","ITAPURA","2026-11-05","2026-11-08","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
